Starting FA task for: subtype=="vpn" and user=="rafaelasamc"
TID: 407185266. Waiting 15 seconds...
Found 100 logs for rafaelasamc.
Date: 2026-02-20 09:48:57 | Action: tunnel-stats | Duration: 5400 | Rcv: 594056025 | Sent: 724583093 | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 09:38:57 | Action: tunnel-stats | Duration: 4800 | Rcv: 526197341 | Sent: 582403334 | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 09:28:57 | Action: tunnel-stats | Duration: 4200 | Rcv: 458630394 | Sent: 413513974 | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 09:18:57 | Action: tunnel-stats | Duration: 3600 | Rcv: 381372615 | Sent: 343576131 | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 09:08:56 | Action: tunnel-stats | Duration: 3000 | Rcv: 313600166 | Sent: 325703650 | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 08:58:56 | Action: tunnel-stats | Duration: 2400 | Rcv: 244085318 | Sent: 309641573 | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 08:48:56 | Action: tunnel-stats | Duration: 1800 | Rcv: 163259050 | Sent: 287421923 | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 08:38:57 | Action: tunnel-stats | Duration: 1200 | Rcv: 94284157 | Sent: 260060922 | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 08:28:57 | Action: tunnel-stats | Duration: 600 | Rcv: 18438662 | Sent: 106170206 | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 08:18:58 | Action: tunnel-up | Duration: None | Rcv: None | Sent: None | SessionID: None | TunnelID: 743229134
Date: 2026-02-20 08:18:56 | Action: tunnel-up | Duration: None | Rcv: None | Sent: None | SessionID: None | TunnelID: 743229134
Date: 2026-02-19 23:49:37 | Action: tunnel-down | Duration: 56487 | Rcv: 3183780181 | Sent: 2223612800 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 23:49:37 | Action: tunnel-down | Duration: 56488 | Rcv: 0 | Sent: 0 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 23:48:11 | Action: tunnel-stats | Duration: 56401 | Rcv: 3183780181 | Sent: 2223612800 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 23:38:11 | Action: tunnel-stats | Duration: 55801 | Rcv: 3183715056 | Sent: 2223516932 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 23:28:11 | Action: tunnel-stats | Duration: 55201 | Rcv: 3183192731 | Sent: 2222291463 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 23:18:10 | Action: tunnel-stats | Duration: 54601 | Rcv: 3182933398 | Sent: 2221984027 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 23:08:10 | Action: tunnel-stats | Duration: 54000 | Rcv: 3175333312 | Sent: 2221449817 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 22:58:09 | Action: tunnel-stats | Duration: 53400 | Rcv: 3175176177 | Sent: 2220314432 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 22:48:10 | Action: tunnel-stats | Duration: 52800 | Rcv: 3174823836 | Sent: 2219889496 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 22:38:10 | Action: tunnel-stats | Duration: 52200 | Rcv: 3174468494 | Sent: 2219525080 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 22:28:09 | Action: tunnel-stats | Duration: 51600 | Rcv: 3174357359 | Sent: 2219260043 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 22:18:10 | Action: tunnel-stats | Duration: 51000 | Rcv: 3174034796 | Sent: 2218916672 | SessionID: None | TunnelID: 743228902
Date: 2026-02-19 22:08:10 | Action: tunnel-stats | Duration: 50400 | Rcv: 3169353586 | Sent: 2218352969 | SessionID: None | TunnelID: 743228902
